customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_rating_interpolated,purchase_amount_noisy,customer_rating_noisy
113,1150,316,2024-05-29,Clothing,1.0,1.0,334.4532824307388,1.0
138,1050,274,2024-02-19,Electronics,1.1,1.1,270.0247934941811,1.1000747428919453
107,1065,274,2024-03-05,Books,1.1,1.1,299.4489452032753,1.1706165808592364
120,1006,395,2024-01-06,Groceries,1.1,1.1,385.28525921326553,1.111757634645751
149,1071,423,2024-03-11,Sports,1.1,1.1,421.6966811758241,1.1284955217086583
175,1026,209,2024-01-26,Sports,1.1,1.1,203.59315179376102,1.199430216676607
188,1029,292,2024-01-29,Sports,1.2,1.2,280.5906097955429,1.2554295733922656
161,1041,93,2024-02-10,Electronics,1.2,1.2,107.0324970061027,1.2405486610099898
180,1118,374,2024-04-27,Electronics,1.2,1.2,356.5081619019947,1.1825939417796947
121,1028,236,2024-01-28,Electronics,1.2,1.2,239.31108037857845,1.245505025730418
122,1133,301,2024-05-12,Groceries,1.3,1.3,297.04708396114177,1.3501895109999031
120,1048,280,2024-02-17,Groceries,1.3,1.3,311.5130214074677,1.2781575783753356
160,1005,64,2024-01-05,Clothing,1.3,1.3,67.60409347810807,1.2946410181073702
170,1063,367,2024-03-03,Books,1.3,1.3,369.8166148339561,1.1895505120293886
177,1068,221,2024-03-08,Groceries,1.3,1.3,210.31182109016348,1.270828608970579
133,1130,398,2024-05-09,Electronics,1.3,1.3,371.43790490700565,1.2995759830776874
171,1128,236,2024-05-07,Clothing,1.3,1.3,252.80596670006716,1.2407239438499655
161,1134,492,2024-05-13,Sports,1.3,1.3,485.9728484864443,1.315055159929559
161,1094,103,2024-04-03,Groceries,1.4,1.4,108.88740563592677,1.4287309457648465
162,1116,343,2024-04-25,Books,1.4,1.4,335.73509871256556,1.3684613657665237
146,1066,356,2024-03-06,Groceries,1.4,1.4,343.2769874464444,1.3771426224352907
159,1103,221,2024-04-12,Electronics,1.4,1.4,231.38587209013446,1.4190128139533502
141,1033,219,2024-02-02,Groceries,1.4,1.4,232.15692837992634,1.3417270259424
104,1148,409,2024-05-27,Clothing,1.4,1.4,409.5999368481297,1.300693174755335
172,1127,173,2024-05-06,Books,1.4,1.4,168.35573553713576,1.4441711413566034
143,1064,214,2024-03-04,Sports,1.4,1.4,211.82739056285283,1.466738880542614
104,1123,289,2024-05-02,Clothing,1.5,1.5,300.41376462329845,1.475101633473117
105,1074,282,2024-03-14,Books,1.5,1.5,280.802803086693,1.4625972820810844
157,1027,376,2024-01-27,Groceries,1.5,1.5,383.4696490561242,1.3962845373445012
199,1012,280,2024-01-12,Electronics,1.6,1.6,282.8425022557799,1.6339939499825678
140,1124,193,2024-05-03,Groceries,1.6,1.6,185.9695272040359,1.6177587708156473
179,1036,490,2024-02-05,Clothing,1.7,1.7,509.8343820661827,1.6499704149504102
